"npi","zip","fipscounty","drug_name","generic_name","total_day_supply","total_claim_count"
1861892424,"37766","47013",OXYCODONE HCL,OXYCODONE HCL,85191,2977
1447608211,"37923","47093",OXYCODONE HCL,OXYCODONE HCL,84001,2813
1649510090,"38120","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,69669,2395
1891915047,"38555","47035",OXYCODONE HCL,OXYCODONE HCL,69081,2424
1780011122,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,67762,2294
1689846271,"37760","47089",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,67646,2271
1912011792,"37841","47151",OXYCODONE HCL,OXYCODONE HCL,66209,4538
1609879527,"37128","47149",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,64912,2173
1891915047,"38555","47035",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,64823,2253
1750578878,"37916","47093",OXYCODONE HCL,OXYCODONE HCL,62925,2227
1346388568,"37042","47125",OXYCODONE HCL,OXYCODONE HCL,59252,2478
1215213863,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,56074,1893
1043532419,"37354","47123",OXYCODONE HCL,OXYCODONE HCL,55999,2037
1962406793,"38556","47049",OXYCODONE HCL,OXYCODONE HCL,53491,1811
1124027560,"38261","47131",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,52253,1775
1417941022,"38063","47097",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,51160,1794
1750698205,"38305","47113",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,50236,1690
1801890223,"38008","47069",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,49557,1703
1548234826,"37403","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,49326,1652
1912011792,"37841","47151",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,49291,3376
1114330321,"37921","47093",OXYCODONE HCL,OXYCODONE HCL,47911,1622
1801881131,"38201","47017",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,47809,1613
1063470045,"37311","47011",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,47652,1609
1518974732,"37166","47041",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,47346,1661
1033192893,"37398","47051",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,46979,1601
1780866830,"38310","47109",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,46352,1557
1831139005,"37743","47059",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,46330,1567
1679592869,"38501","47141",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,45921,1540
1295818409,"37923","47093",OXYCODONE HCL,OXYCODONE HCL,45791,1535
1033192893,"37398","47051",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,45176,1526
1477946143,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,44653,1493
1962406793,"38556","47049",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,44646,1511
1891915047,"38555","47035",MORPHINE SULFATE ER,MORPHINE SULFATE,44539,1560
1376646646,"38464","47099",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,44208,1489
1952392797,"37203","47037",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,43569,1578
1316237373,"38305","47113",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,43269,1460
1619976156,"37920","47093",OXYCODONE HCL,OXYCODONE HCL,42865,1538
1376588996,"37620","47163",OXYCODONE HCL,OXYCODONE HCL,42585,1455
1538428230,"37620","47163",OXYCODONE HCL,OXYCODONE HCL,42403,1436
1205911518,"38119","47157",OXYCODONE HCL,OXYCODONE HCL,42245,1449
1568564672,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,41511,1437
1144479098,"37355","47031",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,40990,1435
1790063212,"38242","47079",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,40980,1374
1508154915,"37934","47093",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,40873,1384
1043387624,"38120","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,40808,1371
1871592287,"38237","47183",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,40632,1552
1881951994,"37874","47123",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,40289,1387
1124027560,"38261","47131",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,39729,1344
1386648160,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,39544,1345
1285165175,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,39393,1329
1104118835,"37917","47093",OXYCODONE HCL,OXYCODONE HCL,39245,1312
1568460525,"37874","47123",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,38664,1380
1073518288,"37879","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,38563,1338
